epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.4675,0.70124,1.73995,1.18077,0.59004,0.71586,0.82956,0.57751,0.48505,1.64785,0.5607,0.0700637,0.00332626,0.00332626
2,226.009,0.6207,1.06157,1.11247,0.78056,0.73333,0.77478,0.62704,0.41088,0.99771,0.45936,0.0399318,0.00652773,0.00652773
3,350.596,0.66828,0.98618,1.12192,0.89876,0.87703,0.90288,0.69961,0.46755,1.11662,0.42383,0.00966797,0.0095972,0.0095972
4,443.962,0.6848,0.95049,1.11898,0.96373,0.9631,0.98757,0.7276,0.49448,0.69728,0.46171,0.009406,0.009406,0.009406
5,495.948,0.67367,0.89049,1.12588,0.81595,0.85807,0.90034,0.66922,0.56223,1.0592,0.49472,0.009208,0.009208,0.009208
6,534.44,0.64856,0.83,1.1171,0.88757,0.91385,0.9523,0.76703,0.36309,0.53463,0.36078,0.00901,0.00901,0.00901
7,566.942,0.63617,0.79193,1.1208,0.88856,0.92143,0.9452,0.75538,0.46516,0.6343,0.42395,0.008812,0.008812,0.008812
8,605.338,0.6119,0.76312,1.1063,0.9182,0.95595,0.95698,0.81366,0.36351,0.53808,0.38192,0.008614,0.008614,0.008614
9,643.543,0.60357,0.74099,1.10841,0.97494,0.93423,0.98408,0.76214,0.37075,0.53982,0.3616,0.008416,0.008416,0.008416
10,694.459,0.58157,0.72296,1.10005,0.97144,0.97262,0.98499,0.81078,0.4063,0.5027,0.38599,0.008218,0.008218,0.008218
11,748.224,0.56581,0.70773,1.1018,0.94446,0.96667,0.94959,0.7191,0.47068,0.53211,0.44362,0.00802,0.00802,0.00802
12,801.513,0.55212,0.68485,1.09625,0.96363,0.96667,0.96866,0.76171,0.4904,0.48304,0.43199,0.007822,0.007822,0.007822
13,856.726,0.54866,0.67596,1.09046,0.99764,1,0.995,0.8561,0.34645,0.40553,0.35224,0.007624,0.007624,0.007624
14,907.14,0.53402,0.6502,1.08694,0.96376,0.89716,0.97252,0.78051,0.4381,0.51447,0.39629,0.007426,0.007426,0.007426
15,956.819,0.53759,0.65193,1.08685,0.98647,0.96679,0.98218,0.76221,0.44644,0.50658,0.40819,0.007228,0.007228,0.007228
16,1006.82,0.5247,0.6392,1.08729,0.95306,1,0.99302,0.82949,0.42051,0.43376,0.38658,0.00703,0.00703,0.00703
17,1059.19,0.51302,0.62454,1.08325,0.99294,1,0.9945,0.85405,0.29287,0.33759,0.31202,0.006832,0.006832,0.006832
18,1109.24,0.49844,0.60936,1.07514,0.96209,0.9638,0.97159,0.82485,0.36463,0.34394,0.35564,0.006634,0.006634,0.006634
19,1159.32,0.4949,0.59184,1.07199,0.97139,0.96667,0.98568,0.84569,0.32991,0.51969,0.32019,0.006436,0.006436,0.006436
20,1209.53,0.48999,0.59189,1.07117,0.96104,0.98333,0.98571,0.79215,0.39742,0.33187,0.36115,0.006238,0.006238,0.006238
21,1255.59,0.49068,0.60631,1.07628,0.98651,0.98333,0.99452,0.82327,0.414,0.3663,0.38355,0.00604,0.00604,0.00604
22,1303.91,0.47919,0.59494,1.0721,0.99328,1,0.99496,0.80261,0.41623,0.35916,0.38078,0.005842,0.005842,0.005842
23,1350.51,0.47607,0.58141,1.07172,0.99321,0.97971,0.98882,0.82716,0.41259,0.36512,0.37361,0.005644,0.005644,0.005644
