epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,555.619,0.58415,2.6607,1.20572,0.53677,0.47463,0.41367,0.2611,0.84703,3.60641,1.13506,0.000301716,0.000301716,0.000301716
2,1088.2,0.55207,1.92068,1.16321,0.34154,0.80085,0.50515,0.39605,0.67573,2.15345,0.99928,0.000592743,0.000592743,0.000592743
3,3104.42,0.53167,1.76328,1.14913,0.44731,0.69014,0.58982,0.48091,0.59397,1.98654,0.90107,0.000871771,0.000871771,0.000871771
